[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/sch_list_by_su],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.dto.SchoolDTO>> com.integrated.edu.data.web.SchoolController.schListBySaUser(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_list],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.Classes>> com.integrated.edu.data.web.SchoolController.clasByGid(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/cla_upd],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.claUpd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Classes)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/sch/grd_batch_up],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.SchoolController.grdBatchUp(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/fam_del],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.StudentController.famDel(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/stu_list],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.util.List<com.integrated.edu.comm.data.Student>> com.integrated.edu.data.web.StudentController.stuList(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/stu_get],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.edu.comm.data.Student> com.integrated.edu.data.web.StudentController.stuGet(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/stu_del],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.Boolean> com.integrated.edu.data.web.StudentController.stuDel(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/fam_get],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.edu.comm.data.Family> com.integrated.edu.data.web.StudentController.famGet(com.integrated.edu.comm.Ui,java.lang.String,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/stu_add],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<java.lang.String> com.integrated.edu.data.web.StudentController.stuAdd(com.integrated.edu.comm.Ui,com.integrated.edu.comm.data.Student,java.lang.String)
[2018-03-13 17:42:38] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/data/stu/stu_paging],methods=[POST]}" onto public com.integrated.comm.restful.RestfulRes<com.integrated.comm.mybatis.Paging> com.integrated.edu.data.web.StudentController.stuPaging(javax.servlet.http.HttpServletRequest,com.integrated.edu.comm.Ui,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
